country_iso3;region_code;name;area;sdek_id;is_center;pod_max
arm;ER;Ереван;Армения;7114;0;0.000
arm;KT;Абовян;Армения;31140;0;0.000
arm;AG;Апаран;Армения;4877;0;0.000
arm;AV;Армавир;Армения;31223;0;0.000
arm;AG;Аштарак;Армения;31139;0;0.000
arm;LO;Ванадзор;Армения;5839;0;0.000
arm;SU;Горис;Армения;31385;0;0.000
arm;SH;Гюмри;Армения;6730;0;0.000
arm;KT;Егвард;Армения;31224;0;0.000
arm;VD;Ехегнадзор;Армения;31381;0;0.000
arm;SU;Капан;Армения;31384;0;0.000
arm;AR;Масис;Армения;31225;0;0.000
arm;KT;Раздан;Армения;10466;0;0.000
arm;GR;Севан;Армения;11080;0;0.000
arm;LO;Спитак;Армения;31383;0;0.000
arm;KT;Цахкадзор;Армения;31382;0;0.000
arm;AV;Эчмиадзин;Армения;31141;0;0.000
arm;AV;Вагаршапат;Армения;31141;0;0.000
blr;BR;Антополь;Брестскаяобл.;4870;0;0.000
blr;BR;Барановичи;Брестскаяобл.;5144;0;0.000
blr;BR;Белоозерск;Брестскаяобл.;5301;0;0.000
blr;BR;Береза;Брестскаяобл.;5353;0;0.000
blr;BR;Брест;Брестскаяобл.;5624;0;0.000
blr;BR;Высокое;Брестскаяобл.;6324;0;0.000
blr;BR;Ганцевичи;Брестскаяобл.;6386;0;0.000
blr;BR;Городище;Брестскаяобл.;6566;0;0.000
blr;BR;Давид-Городок;Брестскаяобл.;6736;0;0.000
blr;BR;Домачево;Брестскаяобл.;6977;0;0.000
blr;BR;Дрогичин;Брестскаяобл.;7007;0;0.000
blr;BR;Жабинка;Брестскаяобл.;7131;0;0.000
blr;BR;Иваново;Брестскаяобл.;15616;0;0.000
blr;BR;Ивацевичи;Брестскаяобл.;7291;0;0.000
blr;BR;Каменец;Брестскаяобл.;7591;0;0.000
blr;BR;Кобрин;Брестскаяобл.;8023;0;0.000
blr;BR;Лунинец;Брестскаяобл.;8812;0;0.000
blr;BR;Ляховичи;Брестскаяобл.;8839;0;0.000
blr;BR;Малорита;Брестскаяобл.;8914;0;0.000
blr;BR;Микашевичи;Брестскаяобл.;16940;0;0.000
blr;BR;Остромечево;Брестскаяобл.;24545;0;0.000
blr;BR;Пружаны;Брестскаяобл.;10403;0;0.000
blr;BR;"Речица, Столинский р-н";Брестскаяобл.;31591;0;0.000
blr;BR;Столин;Брестскаяобл.;11405;0;0.000
blr;VI;Бегомль;Витебскаяобл.;5224;0;0.000
blr;VI;Бешенковичи;Витебскаяобл.;5391;0;0.000
blr;VI;Богушевск;Витебскаяобл.;5495;0;0.000
blr;VI;Браслав;Витебскаяобл.;5590;0;0.000
blr;VI;Верхнедвинск;Витебскаяобл.;5998;0;0.000
blr;VI;Ветрино;Витебскаяобл.;6092;0;0.000
blr;VI;Видзы;Витебскаяобл.;6101;0;0.000
blr;VI;Витебск;Витебскаяобл.;6215;0;0.000
blr;VI;Воропаево;Витебскаяобл.;6276;0;0.000
blr;VI;Глубокое;Витебскаяобл.;6508;0;0.000
blr;VI;Городок;Витебскаяобл.;6570;0;0.000
blr;VI;Дисна;Витебскаяобл.;6949;0;0.000
blr;VI;Докшицы;Витебскаяобл.;6972;0;0.000
blr;VI;Должа;Витебскаяобл.;13526;0;0.000
blr;VI;Друя;Витебскаяобл.;7014;0;0.000
blr;VI;Дубровно;Витебскаяобл.;7025;0;0.000
